stage,teams,result
group-stage,made-in-brazil renegades,1
group-stage,nrg renegades,1
playoff,faze nrg,1
playoff,liquid cloud9,1
playoff,liquid faze,1
standoff,made-in-brazil renegades,1
group-stage,astralis cloud9,1
group-stage,astralis ence,2
group-stage,astralis giants-gaming,1
group-stage,astralis navi,1
group-stage,astralis nip,1
group-stage,cloud9 ence,2
group-stage,cloud9 giants-gaming,1
group-stage,cloud9 navi,2
group-stage,cloud9 nip,2
group-stage,ence giants-gaming,1
group-stage,ence navi,1
group-stage,navi giants-gaming,1
group-stage,nip ence,1
group-stage,nip giants-gaming,2
group-stage,nip navi,1
play-in,giants-gaming cream,1
play-in,movistar-riders giants-gaming,2
play-in,queso giants-gaming,2
playoff,astralis ence,2
standoff,nip giants-gaming,1
group-stage,astralis cloud9,1
group-stage,astralis faze,2
group-stage,astralis liquid,2
group-stage,astralis made-in-brazil,2
group-stage,astralis navi,1
group-stage,cloud9 faze,2
group-stage,cloud9 liquid,2
group-stage,cloud9 navi,2
group-stage,faze made-in-brazil,0
group-stage,faze navi,1
group-stage,liquid faze,1
group-stage,made-in-brazil cloud9,1
group-stage,made-in-brazil liquid,2
group-stage,made-in-brazil navi,2
group-stage,navi liquid,2
playoff,liquid faze,2
standoff,made-in-brazil cloud9,1
cis,avangar buaksib,1
cis,avangar nemiga,1
cis,avangar vega-squadron,1
cis,buaksib gambit-youngsters,1
cis,forze buaksib,1
cis,forze nemiga,1
cis,forze winstrike,1
cis,gambit-youngsters nemiga,2
cis,nemiga spirit,1
cis,spirit vega-squadron,1
cis,spirit winstrike,2
cis,winstrike avangar,1
cis,winstrike avangar,2
group-stage,ence avangar,2
group-stage,ence forze,2
group-stage,ence made-in-brazil,0
group-stage,forze avangar,1
group-stage,forze made-in-brazil,2
group-stage,forze nip,0
group-stage,made-in-brazil avangar,2
group-stage,navi avangar,2
group-stage,navi ence,0
group-stage,navi forze,2
group-stage,navi made-in-brazil,2
group-stage,navi nip,2
group-stage,nip avangar,1
group-stage,nip ence,2
group-stage,nip made-in-brazil,0
playoff,forze avangar,2
standoff,nip navi,1
group-stage,astralis ence,1
group-stage,astralis faze,1
group-stage,astralis liquid,1
group-stage,astralis made-in-brazil,1
group-stage,astralis nip,1
group-stage,ence faze,1
group-stage,ence liquid,0
group-stage,ence nip,1
group-stage,faze made-in-brazil,1
group-stage,faze nip,2
group-stage,liquid faze,1
group-stage,made-in-brazil ence,2
group-stage,made-in-brazil liquid,2
group-stage,made-in-brazil nip,2
group-stage,nip liquid,2
playoff,astralis liquid,1
standoff,ence made-in-brazil,1
group-stage,ago-gaming astralis-talent,1
group-stage,ago-gaming galaxy-racer,2
group-stage,ago-gaming tricked,2
group-stage,astralis-talent tricked,2
group-stage,ldlc brugge,1
group-stage,mad-lions alternate,1
group-stage,mad-lions team-spirit-academy,1
group-stage,skade mad-lions,1
group-stage,team-spirit-academy alternate,1
group-stage,tricked galaxy-racer,2
group-stage,umx ldlc,2
play-in,sangal ago-gaming,2
playoff,ldlc copenhagen-flames,2
playoff,ldlc gorillaz,1
playoff,mad-lions brugge,1
playoff,skade ago-gaming,1
playoff,team-spirit-academy mad-lions,1
playoff,tricked copenhagen-flames,2
group-stage,ago-gaming giants-gaming,1
group-stage,ago-gaming havu-gaming,2
group-stage,ago-gaming nordavind,2
group-stage,alternate endpoint,1
group-stage,alternate salamander-gaming,1
group-stage,alternate tricked,1
group-stage,endpoint alternate,1
group-stage,endpoint tricked,1
group-stage,giants-gaming ago-gaming,1
group-stage,giants-gaming havu-gaming,2
group-stage,giants-gaming nordavind,2
group-stage,havu-gaming ago-gaming,1
group-stage,havu-gaming giants-gaming,2
group-stage,nordavind ago-gaming,1
group-stage,nordavind giants-gaming,1
group-stage,salamander-gaming alternate,2
group-stage,salamander-gaming tricked,1
group-stage,tricked alternate,2
group-stage,tricked endpoint,2
group-stage,tricked salamander-gaming,2
playoff,havu-gaming alternate,1
playoff,heretics alternate,2
playoff,imperial kinguin,2
playoff,kinguin space-soldiers,1
playoff,space-soldiers kinguin,2
playoff,space-soldiers pride,1
playoff,space-soldiers pride,1
group-stage,pro100 elements,1
group-stage,pro100 elements,1
group-stage,pro100 forze,2
group-stage,vexed elements,2
playoff,winstrike pro100,1
esl_closed-qualifier,mad-lions sprout,2
group-stage,furia-academy sharks,2
group-stage,prodigy sharks,2
group-stage,sharks reapers,1
group-stage,sharks redemption,1
playoff,sharks redemption,2
showmatches,boom sharks,2
group-stage,blackdragons made-in-brazil,2
group-stage,made-in-brazil furious,1
group-stage,made-in-brazil intz-esports,1
group-stage,made-in-brazil sharks,2
group-stage,sharks havan-liberty,1
group-stage,sharks sws,1
playoff,made-in-brazil bravos,1
playoff,made-in-brazil havan-liberty,1
playoff,sharks intz-esports,1
playoff,sharks made-in-brazil,2
playoff,sharks paqueta,1
weekly-1,valiance dream-eaters,1
weekly-1,wasd dream-eaters,2
europe-playoff,epsilon g2-vodafone,1
europe-playoff,kpi-gaming epsilon,2
europe-playoff,singularity epsilon,1
europe-playoff,singularity epsilon,1
european-play-off,efrag flipsid3,1
european-play-off,flipsid3 infinty-swe,1
european-play-off,flipsid3 kinguin,2
european-play-off,hellraisers flipsid3,2
european-play-off,hellraisers flipsid3,2
european-qualification,elements publiclir-se,1
european-qualification,flipsid3 lions,1
european-qualification,kinguin elements,1
european-qualification,lqqmpp flipsid3,2
european-qualification,melty elements,1
european-qualification,property flipsid3,1
finals,liquid team-dignitas,2
finals,team-dignitas conquest,2
finals,vp team-dignitas,1
group-stage,animal-squad clg,0
group-stage,clg 3sup,1
group-stage,clg enemy,1
group-stage,clg follow-esports,1
group-stage,clg method,1
group-stage,clg mortality,0
group-stage,clg sponsorless,0
group-stage,flipsid3 efrag,1
group-stage,flipsid3 heroic,1
group-stage,flipsid3 mousesports,2
group-stage,flipsid3 penta,1
group-stage,flipsid3 property,1
group-stage,flipsid3 sententia-mortis,1
group-stage,hellraisers dobry-gaming,0
group-stage,hellraisers flipsid3,1
group-stage,infinty-swe dobry-gaming,0
group-stage,kinguin flipsid3,2
group-stage,liquid clg,1
group-stage,lounge-gaming flipsid3,1
group-stage,luminosity clg,0
group-stage,maximum-effort clg,0
group-stage,north flipsid3,0
group-stage,orgless clg,0
group-stage,property dobry-gaming,0
group-stage,titan dobry-gaming,1
group-stage,titan flipsid3,1
europe,dendd penta,2
europe,ence efrag,2
europe,ence empire,1
europe,ence flipsid3,2
europe,ence penta,1
europe,flipsid3 penta,2
europe,flipsid3 quackpack,1
europe,flipsid3 team-preparation,1
europe,penta epsilon,2
europe,sk flipsid3,2
europe,team-dignitas dendd,1
europe,team-dignitas flipsid3,1
europe,team-dignitas fm-esports,1
europe,team-dignitas hellraisers,1
group-stage,sk selfless,1
group-stage,team-dignitas selfless,1
group-stage,team-dignitas sk,2
group-stage,tempo-storm sk,1
group-stage,tempo-storm team-dignitas,1
north-america,clg noble,1
north-america,clg nrg,2
north-america,clg quetzal,1
north-america,kkona clg,2
north-america,luminosity ace-gaming,1
north-america,luminosity selfless,2
north-america,luminosity solomid,1
north-america,renegades tempo-storm,2
north-america,selfless clg,1
north-america,tempo-storm 8-minded,1
north-america,tempo-storm clg,2
playoff,hellraisers sk,2
playoff,sk tempo-storm,2
playoff,tempo-storm vp,1
group-stage,clg liquid,1
group-stage,cloud9 clg,1
group-stage,cloud9 clg,1
group-stage,luminosity tempo-storm,2
group-stage,navi tempo-storm,1
group-stage,vp tempo-storm,1
group-stage,fate hard-legion,1
group-stage,hard-legion bluejays,1
group-stage,hard-legion budapest-five,2
playoff,big-academy hard-legion,2
playoff,project-x hard-legion,1
china,tyloo invictus-gaming,1
china,tyloo rising-stars,1
china,tyloo wings-up,1
china,wings-up tyloo,2
europe,avangar big,2
europe,avangar illuminar-gaming,2
europe,big ex-windigo,1
europe,big gambit-youngsters,1
europe,big hard-legion,2
europe,big movistar-riders,1
europe,big optic,1
europe,dream-eaters gambit-youngsters,1
europe,dream-eaters movistar-riders,1
europe,forze heretics,1
europe,forze k23,2
europe,gambit-youngsters illuminar-gaming,1
europe,gambit-youngsters illuminar-gaming,1
europe,gambit-youngsters k23,1
europe,gambit-youngsters sprout,1
europe,gambit-youngsters sprout,2
europe,gamerlegion forze,1
europe,gamerlegion spirit,2
europe,gamerlegion windigo,2
europe,godsent movistar-riders,2
europe,hard-legion gamerlegion,1
europe,hard-legion spirit,1
europe,heretics vp,2
europe,heroic forze,1
europe,heroic gamerlegion,1
europe,heroic smash-esports,1
europe,illuminar-gaming sprout,2
europe,k23 smash-esports,2
europe,k23 spirit,2
europe,movistar-riders optic,2
europe,movistar-riders spirit,2
europe,optic dream-eaters,2
europe,optic sprout,1
europe,spirit havu-gaming,1
europe,spirit heretics,2
europe,spirit heretics,1
europe,spirit smash-esports,2
europe,spirit windigo,2
europe,sprout forze,1
europe,sprout k23,1
europe,sprout movistar-riders,2
europe,sprout spirit,2
europe,vp havu-gaming,1
europe,vp spirit,2
europe,windigo smash-esports,1
group-stage,ence movistar-riders,2
group-stage,furia movistar-riders,1
group-stage,furia tyloo,1
group-stage,g2-esports big,1
group-stage,hard-legion g2-esports,2
group-stage,hard-legion spirit,1
group-stage,hard-legion spirit,2
group-stage,movistar-riders ence,2
group-stage,spirit big,1
group-stage,tyloo ence,2
playoff,furia spirit,2
playoff,g2-esports ence,1
playoff,g2-esports spirit,1
group,flipsid3 lounge-gaming,1
group,flipsid3 lounge-gaming,1
group,flipsid3 north,2
play-off,navi penta,1
play-off,vp flipsid3,1
group-stage,hellraisers space-soldiers,1
group-stage,hellraisers space-soldiers,2
group-stage,penta hellraisers,1
group-stage,penta vws-gaming,1
group-stage,space-soldiers vws-gaming,1
playoff,godsent space-soldiers,2
playoff,north space-soldiers,2
playoff,penta efrag,2
playoff,space-soldiers agg,1
playoff,team-dignitas mortal-kombat,2
playoff,team-dignitas xpc,1
group-stage,epsilon gamerlegion,1
group-stage,frostfire ldlc,2
group-stage,g2-esports epsilon,2
group-stage,g2-esports vp,1
group-stage,gamerlegion g2-esports,2
group-stage,sprout ldlc,1
group-stage,sprout ldlc,1
group-stage,vitality frostfire,1
group-stage,vitality sprout,1
group-stage,vp gamerlegion,2
playoff,epsilon sprout,2
playoff,sprout vitality,2
playoff,vitality g2-esports,1
group-stage,uya efuture-dk,1
group-stage,uya fnatic-academy,2
playoff,tyloo uya,1
playoff,uya boot,2
playoff,vici-gaming fnatic-academy,2
playoff,ago-gaming vega-squadron,2
playoff,tyloo ago-gaming,2
playoff,tyloo vega-squadron,1
playoff,tyloo vega-squadron,2
playoff,vega-squadron flash-gaming,1
playoff,goldenmix vici-gaming,2
playoff,vega-squadron b.o.o.t-d-s,1
playoff,vega-squadron b.o.o.t-d-s,1
playoff,vici-gaming vega-squadron,1
playoff,vici-gaming vega-squadron,2
group-stage,avangar norbant,1
group-stage,avangar pro100,1
group-stage,buaksib k23,1
group-stage,gambit-youngsters 5balls,1
group-stage,gambit-youngsters avangar,2
group-stage,gambit-youngsters future-perfect,1
group-stage,k23 oneway,2
group-stage,norbant gambit-youngsters,2
group-stage,pro100 ha-masse,1
group-stage,pro100 unique,1
group-stage,unique k23,1
group-stage,vega-squadron buaksib,2
group-stage,vega-squadron newballs,1
group-stage,vega-squadron norbant,1
group-stage,vega-squadron pro100,2
group-stage,winstrike vega-squadron,2
playoff,avangar buaksib,1
playoff,avangar gambit-youngsters,2
playoff,gambit-youngsters pro100,1
playoff,gambit-youngsters vega-squadron,1
playoff,pro100 newballs,1
playoff,unique pro100,2
play-off,elements baghlan,1
play-off,elements vega-squadron,2
play-off,rebels elements,2
play-off,vega-squadron elements,2
play-off,vega-squadron yp,1
group-stage,elements teamswagyolo,2
group-stage,elements ussr,2
play-off,elements aces,2
group-stage,quantum-bellator tengri,2
group-stage,tengri quantum-bellator,2
group-stage,zarlans quantum-bellator,2
playoff,all-in quantum-bellator,1
playoff,vws-gaming quantum-bellator,1
qualifier,quantum-bellator all-in,2
qualifier,quantum-bellator devious-gaming,1
qualifier,quantum-bellator enso,1
group-stage,dream-eaters warthox,1
group-stage,forze gambit-youngsters,1
group-stage,forze k23,1
group-stage,gambit-youngsters k23,2
group-stage,k23 unique,1
group-stage,nemiga warthox,2
group-stage,spirit dream-eaters,2
group-stage,spirit nemiga,1
group-stage,unique gambit-youngsters,2
group-stage,warthox spirit,2
playoff,dream-eaters k23,2
playoff,forze k23,1
playoff,forze spirit,1
playoff,k23 dream-eaters,1
playoff,spirit dream-eaters,2
qualifiers,dream-eaters noname-esports,1
qualifiers,dream-eaters unique,2
qualifiers,espada noname-esports,1
qualifiers,espada warthox,2
qualifiers,forze noname-esports,1
qualifiers,gambit-youngsters nemiga,2
qualifiers,gambit-youngsters se7en,1
qualifiers,gambit-youngsters warthox,1
qualifiers,k23 pro100,1
qualifiers,k23 winstrike,1
qualifiers,majesty pro100,2
qualifiers,nemiga dracarys,1
qualifiers,pro100 se7en,2
qualifiers,pro100 se7en,1
qualifiers,pro100 warthox,1
qualifiers,spirit extremum,1
qualifiers,spirit vega-squadron,1
qualifiers,unique forze,2
qualifiers,vega-squadron dream-eaters,2
qualifiers,vega-squadron notbad,1
group-stage,avangar quantum-bellator,1
group-stage,forze avangar,2
group-stage,forze quantum-bellator,2
group-stage,nemiga pro100,2
group-stage,spirit pro100,2
group-stage,tengri quantum-bellator,2
playoff,avangar quantum-bellator,1
playoff,avangar spirit,1
playoff,pro100 quantum-bellator,2
playoff,pro100 spirit,2
playoff,quantum-bellator avangar,2
playoff,quantum-bellator spirit,1
qualifier,avangar fontan,1
qualifier,fantazeri pro100,2
qualifier,nemiga quantum-bellator,2
group-stage,avangar pro100,1
group-stage,avangar pro100,1
group-stage,avangar winstrike,2
group-stage,gambit k23,2
group-stage,gambit nemiga,1
group-stage,k23 gambit,2
group-stage,k23 spirit,2
group-stage,nemiga spirit,2
group-stage,runtime pro100,2
playoff,avangar winstrike,1
playoff,spirit avangar,2
playoff,spirit gambit,1
playoff,winstrike gambit,1
playoff,winstrike spirit,2
qualifier,forze pro100,2
qualifier,forze spirit,2
qualifier,gambit lan-dodgers,1
qualifier,gambit nemiga,2
qualifier,gambit pugstar5,1
qualifier,hollywood k23,2
qualifier,k23 spirit,2
qualifier,mollihble pro100,2
qualifier,pugstar5 avangar,2
qualifier,rave k23,2
qualifier,rave pro100,1
qualifier,underpressure avangar,2
group-stage,pro100 spartak,1
group-stage,quantum-bellator pro100,1
group-stage,spartak pro100,2
group-stage,spirit quantum-bellator,2
group-stage,team-spirit-academy vega-squadron,2
group-stage,tengri vega-squadron,2
playoff,pro100 quantum-bellator,1
playoff,quantum-bellator tengri,2
playoff,tengri vega-squadron,2
playoff,vega-squadron pro100,1
playoff,vega-squadron pro100,1
playoff,vega-squadron tengri,2
qualifier,elements team-spirit-academy,2
qualifier,evolution quantum-bellator,2
qualifier,pro100 log,1
qualifier,pro100 zarlans,1
qualifier,,
qualifier,,
qualifier,tengri pro100,1
qualifier,,
qualifier,,
qualifier,,
group-stage,,
group-stage,avangar monolith,1
group-stage,,
group-stage,forze spirit,2
group-stage,hellraisers plink,1
group-stage,plink pro100,1
group-stage,pro100 plink,1
group-stage,spirit monolith,1
playoff,hellraisers avangar,1
playoff,hellraisers spirit,1
playoff,pro100 hellraisers,2
playoff,pro100 spirit,2
playoff,spirit avangar,1
playoff,spirit pro100,2
qualifier,atlants dream-eaters,2
qualifier,avangar dream-eaters,1
qualifier,avangar fluffy-gangsters,1
qualifier,avangar forze,1
qualifier,elements forze,2
qualifier,elements hollywood,1
qualifier,elements k23,1
qualifier,elements runup,2
qualifier,flipsid3 5balls,2
qualifier,flipsid3 elquvet,2
qualifier,flipsid3 k23,2
qualifier,flipsid3 runup,1
qualifier,fluffy-gangsters k23,2
qualifier,hellraisers 5balls,1
qualifier,hellraisers elquvet,1
qualifier,hellraisers nemiga,1
qualifier,hollywood k23,1
qualifier,nemiga elements,1
qualifier,pro100 5balls,1
qualifier,pro100 elquvet,1
qualifier,pro100 k23,1
qualifier,pro100 nemiga,2
qualifier,runup dream-eaters,1
qualifier,spirit avangar,1
qualifier,spirit dream-eaters,1
qualifier,spirit forze,1
qualifier,dream-eaters katana29,1
qualifier,dream-eaters la-voiture-noire,2
qualifier,dream-eaters ouroboros,1
qualifiers,100pinggods quantum-bellator,1
qualifiers,1win gambit-youngsters,2
qualifiers,dream-eaters espada,2
qualifiers,dream-eaters s-gaming,2
qualifiers,dream-eaters yellowflashes,1
qualifiers,espada hellraisers,1
